Label;Id;Section;Industry;Exchange
Supreme Industries, Inc.;STS;Consumer Cyclical;Auto and Truck Manufacturers;NYSEAMEX
PACCAR Inc;PCAR;Consumer Cyclical;Auto and Truck Manufacturers;NASDAQ
Berliet Maroc SA;BER;;;CAS
Kia Motors Corporation;000270;;;SEO
GHANDHARA INDUSTRIES LIMITED;GHNI;;;KAR
Toyota Caetano Portugal SA;SCT;;;ELI
GiaiPhong Motor JSC;GGG;;;HST
Hyundai Corporation;011760;;;SEO
Hyundai Digital Technology Co., Ltd.;035480;;;KDQ
Lanka Ashok Leyland Plc;ASHO;;;COL
Peugeot SA (ADR);PEUGY;;;PINK
Vietnam Manufacturing and Export Limited;0422;;;HKG
Mitsubishi Corporation (USA);MSBHY;;;PINK
Mitsui & Co., Ltd.;8031;;;TYO
BHP Billiton Limited;BHP;;;ASX
BHP Billiton plc;BLT;Basic Materials;Metal Mining;LON
Royal Dutch Shell plc;RDSA;Energy;Oil and Gas - Integrated;LON
Anglo American plc;AAL;Basic Materials;Metal Mining;LON
Polaris Industries Inc.;PII;Consumer Cyclical;Recreational Products;NYSE
Cycle Country Accessories Corp;ATC;Consumer Cyclical;Recreational Products;NYSEAMEX
IHI Corporation;7013;;;TYO
Mitsubishi Electric Corporation;6503;;;TYO
Kawasaki Heavy Industries, Ltd.;7012;;;TYO
MITSUBISHI;MSHIA;;;EPA
NITTO KOHKI CO., LTD.;6151;;;TYO
Immsi SpA;IMS;;;BIT
Linhai Co., Ltd.;600099;;;SHA
Incar Nigeria Plc;INCAR;;;NIG
Ul'yanovskiy avtomob. zavod OAO (P);UAZA;;;RTB
AVTOVAZ OAO;AVAZ;;;MCX
Proton Holdings Berhad;PROTON;;;KUL
Navistar International Corporation;NAV;Consumer Cyclical;Auto and Truck Manufacturers;NYSE
Miller Industries, Inc.;MLR;Consumer Cyclical;Auto and Truck Manufacturers;NYSE
Bajaj Holdings & Investments Limited;500490;;;BOM
Hero Motocorp Ltd;500182;;;BOM
Shivam Autotech Ltd;SHIVAMAUTO;;;NSE
S&T Motors Co., Ltd.;000040;;;SEO
Lifan Industry (group) Co Ltd;601777;;;SHA
Chongqing Jianshe Motorcycle Co., Ltd;200054;;;SHE
Harley-Davidson, Inc.;HOG;Consumer Cyclical;Recreational Products;NYSE
Tan Chong International Ltd.;T15;;;SIN
G.A. Holdings Limited;8126;;;HKG
Forefront Group Limited;0885;;;HKG
Zaporiz'kyi Avtomobil'nyi Zavod VAT;ZAZA;;;KSE
DRB-Hicom Berhad;DRBHCOM;;;KUL
Haima Investment Group Co Ltd;000572;;;SHE
BYD Company Limited;002594;;;SHE
